"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.05892 0.3629 0.3951
0.05902 0.3641 0.3951
0.05912 0.3629 0.3951
0.05922 0.3677 0.3951
0.05932 0.3659 0.3957
0.05942 0.3671 0.3957
0.05952 0.3647 0.3963
0.05962 0.3653 0.3957
0.05972 0.3647 0.3963
0.05982 0.3677 0.3957
0.05992 0.3641 0.3963
0.06002 0.3665 0.3975
0.06012 0.3659 0.3969
0.06022 0.3688 0.3969
0.06032 0.3653 0.3969
0.06042 0.3665 0.3975
0.06052 0.3701 0.3969
0.06062 0.3671 0.3981
0.06072 0.3671 0.3981
0.06082 0.3700 0.3975
0.06092 0.3682 0.3987
0.06102 0.3671 0.3975
0.06112 0.3683 0.3987
0.06122 0.3671 0.3993
0.06132 0.3671 0.3975
0.06142 0.3647 0.3999
0.06152 0.3688 0.3987
0.06162 0.3688 0.3993
0.06172 0.3683 0.3993
0.06182 0.3700 0.4005
0.06192 0.3671 0.3999
0.06202 0.3706 0.3993
0.06212 0.3706 0.4005
0.06222 0.3671 0.3999
0.06232 0.3701 0.4005
0.06242 0.3724 0.4005
0.06252 0.3718 0.4011
0.06262 0.3671 0.4005
0.06272 0.3712 0.4017
0.06282 0.3694 0.4005
0.06292 0.3724 0.4017
0.06302 0.3742 0.4011
0.06312 0.3730 0.4017
0.06322 0.3730 0.4017
0.06332 0.3719 0.4017
0.06342 0.3724 0.4029
0.06352 0.3700 0.4017
0.06362 0.3706 0.4029
0.06372 0.3694 0.4023
0.06382 0.3724 0.4029
0.06391 0.3694 0.4035
0.06401 0.3730 0.4029
0.06411 0.3718 0.4029
0.06421 0.3754 0.4035
0.06431 0.3718 0.4041
0.06441 0.3724 0.4029
0.06451 0.3725 0.4041
0.06461 0.3700 0.4041
0.06471 0.3748 0.4047
0.06481 0.3706 0.4047
0.06491 0.3730 0.4035
0.06501 0.3790 0.4053
0.06511 0.3730 0.4047
0.06521 0.3760 0.4047
0.06531 0.3748 0.4053
0.06541 0.3706 0.4053
0.06551 0.3742 0.4064
0.06561 0.3754 0.4047
0.06571 0.3742 0.4064
0.06581 0.3736 0.4053
0.06591 0.3736 0.4064
0.06601 0.3766 0.4053
0.06611 0.3778 0.4070
0.06621 0.3784 0.4064
0.06631 0.3736 0.4064
0.06641 0.3736 0.4064
0.06651 0.3790 0.4076
0.06661 0.3724 0.4076
0.06671 0.3784 0.4058
0.06681 0.3766 0.4082
0.06691 0.3778 0.4070
0.06701 0.3802 0.4076
0.06711 0.3766 0.4083
0.06721 0.3766 0.4070
0.06731 0.3808 0.4094
0.06741 0.3754 0.4070
0.06751 0.3778 0.4100
0.06761 0.3778 0.4076
0.06771 0.3790 0.4094
0.06781 0.3796 0.4088
0.06791 0.3748 0.4082
0.06801 0.3790 0.4106
0.06811 0.3790 0.4088
0.06821 0.3814 0.4094
0.06831 0.3784 0.4095
0.06841 0.3796 0.4094
0.06851 0.3802 0.4100
0.06861 0.3766 0.4094
0.06871 0.3778 0.4106
0.06881 0.3802 0.4112
0.06891 0.3778 0.4094
0.06901 0.3790 0.4112
0.06911 0.3802 0.4112
0.06921 0.3814 0.4100
0.06931 0.3784 0.4118
0.06941 0.3820 0.4112
0.06951 0.3802 0.4112
0.06961 0.3796 0.4124
0.06971 0.3766 0.4112
0.06981 0.3778 0.4118
0.06991 0.3790 0.4118
0.07001 0.3820 0.4124
0.07011 0.3814 0.4124
0.07021 0.3802 0.4124
0.07031 0.3796 0.4124
0.07041 0.3784 0.4118
0.07051 0.3844 0.4142
0.07061 0.3832 0.4130
0.07071 0.3802 0.4136
0.07081 0.3856 0.4130
0.07091 0.3808 0.4136
0.07101 0.3838 0.4130
0.07111 0.3862 0.4142
0.07121 0.3814 0.4142
0.07131 0.3826 0.4136
0.07140 0.3873 0.4148
0.07150 0.3838 0.4142
0.07160 0.3873 0.4142
0.07170 0.3820 0.4148
0.07180 0.3808 0.4148
0.07190 0.3856 0.4160
0.07200 0.3879 0.4148
0.07210 0.3856 0.4148
0.07220 0.3862 0.4154
0.07230 0.3873 0.4160
0.07240 0.3844 0.4154
0.07250 0.3850 0.4160
0.07260 0.3838 0.4166
0.07270 0.3826 0.4148
0.07280 0.3838 0.4166
0.07290 0.3873 0.4160
0.07300 0.3862 0.4172
0.07310 0.3802 0.4178
0.07320 0.3856 0.4160
0.07330 0.3874 0.4166
0.07340 0.3850 0.4172
0.07350 0.3891 0.4184
0.07360 0.3879 0.4172
0.07370 0.3832 0.4178
0.07380 0.3856 0.4172
0.07390 0.3844 0.4178
0.07400 0.3856 0.4178
0.07410 0.3856 0.4184
0.07420 0.3850 0.4184
0.07430 0.3873 0.4184
0.07440 0.3897 0.4196
0.07450 0.3879 0.4184
0.07460 0.3892 0.4190
0.07470 0.3915 0.4190
0.07480 0.3873 0.4190
0.07490 0.3856 0.4196
0.07500 0.3862 0.4184
0.07510 0.3856 0.4202
0.07520 0.3903 0.4202
0.07530 0.3873 0.4202
0.07540 0.3903 0.4202
0.07550 0.3856 0.4202
0.07560 0.3915 0.4208
0.07570 0.3879 0.4196
0.07580 0.3874 0.4208
0.07590 0.3897 0.4208
0.07600 0.3927 0.4214
0.07610 0.3879 0.4208
0.07620 0.3903 0.4214
0.07630 0.3909 0.4220
0.07640 0.3897 0.4214
0.07650 0.3915 0.4214
0.07660 0.3915 0.4214
0.07670 0.3897 0.4220
0.07680 0.3891 0.4226
0.07690 0.3915 0.4220
0.07700 0.3903 0.4232
0.07710 0.3892 0.4220
0.07720 0.3897 0.4232
0.07730 0.3939 0.4220
0.07740 0.3903 0.4238
0.07750 0.3939 0.4232
0.07760 0.3921 0.4232
0.07770 0.3915 0.4232
0.07780 0.3945 0.4238
0.07790 0.3897 0.4238
0.07800 0.3921 0.4238
0.07810 0.3915 0.4232
0.07820 0.3879 0.4244
0.07830 0.3933 0.4238
0.07840 0.3963 0.4249
0.07850 0.3903 0.4249
0.07860 0.3945 0.4249
0.07870 0.3903 0.4255
0.07880 0.3975 0.4238
0.07889 0.3963 0.4255
0.07899 0.3957 0.4249
0.07909 0.3939 0.4249
0.07919 0.3957 0.4261
0.07929 0.3927 0.4249
0.07939 0.3933 0.4261
0.07949 0.3939 0.4255
0.07959 0.3951 0.4262
0.07969 0.3969 0.4261
0.07979 0.3957 0.4261
0.07989 0.3969 0.4279
0.07999 0.3957 0.4255
0.08009 0.3921 0.4273
0.08019 0.3963 0.4261
0.08029 0.3939 0.4273
0.08039 0.3957 0.4273
0.08049 0.3981 0.4273
0.08059 0.3957 0.4273
0.08069 0.3939 0.4273
0.08079 0.3957 0.4285
0.08089 0.4005 0.4280
0.08099 0.3987 0.4279
0.08109 0.3999 0.4279
0.08119 0.3969 0.4285
0.08129 0.3975 0.4285
0.08139 0.3957 0.4291
0.08149 0.3987 0.4279
0.08159 0.4005 0.4291
0.08169 0.3981 0.4291
0.08179 0.3987 0.4291
0.08189 0.3999 0.4291
0.08199 0.3969 0.4303
0.08209 0.3993 0.4292
0.08219 0.3969 0.4297
0.08229 0.3999 0.4303
0.08239 0.3999 0.4291
0.08249 0.3975 0.4303
0.08259 0.3999 0.4309
0.08269 0.4011 0.4297
0.08279 0.3963 0.4309
0.08289 0.3981 0.4303
0.08299 0.4005 0.4309
0.08309 0.3993 0.4309
0.08319 0.4011 0.4309
0.08329 0.3993 0.4315
0.08339 0.3969 0.4309
0.08349 0.3993 0.4315
0.08359 0.4017 0.4315
0.08369 0.4023 0.4327
0.08379 0.3999 0.4315
0.08389 0.4029 0.4315
0.08399 0.4005 0.4327
0.08409 0.4029 0.4327
0.08419 0.3981 0.4321
0.08429 0.4041 0.4333
0.08439 0.4017 0.4321
0.08449 0.4029 0.4333
0.08459 0.4011 0.4333
0.08469 0.4029 0.4327
0.08479 0.4047 0.4339
0.08489 0.4029 0.4327
0.08499 0.4023 0.4339
0.08509 0.4041 0.4339
0.08519 0.4070 0.4339
0.08529 0.4035 0.4339
0.08539 0.4005 0.4345
0.08549 0.4035 0.4339
0.08559 0.4023 0.4351
0.08569 0.4035 0.4333
0.08579 0.4029 0.4345
0.08589 0.4029 0.4357
0.08599 0.4035 0.4351
0.08609 0.4047 0.4345
0.08619 0.4053 0.4363
0.08629 0.4041 0.4345
0.08638 0.4070 0.4357
0.08648 0.4088 0.4357
0.08658 0.4053 0.4357
0.08668 0.4023 0.4363
0.08678 0.4070 0.4363
0.08688 0.4064 0.4357
0.08698 0.4041 0.4363
0.08708 0.4059 0.4369
0.08718 0.4047 0.4351
0.08728 0.4041 0.4375
0.08738 0.4064 0.4375
0.08748 0.4064 0.4363
0.08758 0.4053 0.4369
0.08768 0.4064 0.4381
0.08778 0.4070 0.4369
0.08788 0.4035 0.4381
0.08798 0.4064 0.4375
0.08808 0.4082 0.4381
0.08818 0.4053 0.4369
0.08828 0.4100 0.4393
0.08838 0.4089 0.4375
0.08848 0.4094 0.4387
0.08858 0.4041 0.4393
0.08868 0.4058 0.4369
0.08878 0.4064 0.4393
0.08888 0.4064 0.4387
0.08898 0.4088 0.4393
0.08908 0.4076 0.4393
0.08918 0.4082 0.4399
0.08928 0.4118 0.4381
0.08938 0.4088 0.4405
0.08948 0.4070 0.4393
0.08958 0.4095 0.4393
0.08968 0.4076 0.4411
0.08978 0.4094 0.4393
0.08988 0.4106 0.4405
0.08998 0.4088 0.4405
0.09008 0.4118 0.4399
0.09018 0.4053 0.4411
0.09028 0.4070 0.4405
0.09038 0.4130 0.4411
0.09048 0.4076 0.4405
0.09058 0.4112 0.4417
0.09068 0.4070 0.4417
0.09078 0.4118 0.4399
0.09088 0.4130 0.4423
0.09098 0.4100 0.4417
0.09108 0.4094 0.4423
0.09118 0.4136 0.4417
0.09128 0.4070 0.4429
0.09138 0.4106 0.4417
0.09148 0.4094 0.4429
0.09158 0.4106 0.4417
0.09168 0.4136 0.4423
0.09178 0.4106 0.4434
0.09188 0.4130 0.4429
0.09198 0.4112 0.4429
0.09208 0.4118 0.4435
